Ticker,Date/Time,vni_close,vni_high,vni_low,vni_pct_chg,vni_rsi,basis_pct,advance,decline,ceiling,floor,total_stocks,above_ma50,ema_cross,volume,parkinson_vol,vol_ratio,ad_ratio,thrust_pct
VNINDEX,4/15/2020 0:00,777.2,779.5,768,1.28,64,-0.73,25,6,1,0,32,5,15,255.47,1.44,1.11,4.17,3.13
VNINDEX,4/16/2020 0:00,780.7,781.1,770.9,0.45,65.2,-0.19,19,8,0,0,32,9,19,217.01,1.24,0.94,2.38,0
VNINDEX,4/17/2020 0:00,789.6,791,783.7,1.14,68.1,-2.51,24,3,1,0,32,10,21,268.47,1.19,1.17,8,3.13
VNINDEX,4/20/2020 0:00,795,797.5,786.7,0.68,69.7,-3.57,15,15,1,0,32,11,24,304.59,1.08,1.3,1,3.13
VNINDEX,4/21/2020 0:00,766.8,789.4,762,-3.54,53.3,-5.17,0,31,0,6,32,6,21,368.52,1.18,1.53,0,18.75
VNINDEX,4/22/2020 0:00,768.9,774.9,750,0.27,54.2,-3.85,25,6,0,0,32,9,21,223.47,1.25,0.92,4.17,0
VNINDEX,4/23/2020 0:00,773.9,785.6,771.9,0.65,56.4,-5.38,16,9,0,0,32,9,21,189.39,1.24,0.79,1.78,0
VNINDEX,4/24/2020 0:00,776.7,778.3,767.3,0.36,57.7,-3.85,11,12,1,0,32,10,20,226.07,1.23,0.93,0.92,3.13
VNINDEX,4/27/2020 0:00,770.8,785.7,770.8,-0.76,54,-3.77,3,25,1,0,32,10,19,256.84,1.24,1.05,0.12,3.13
VNINDEX,4/28/2020 0:00,767.2,776.1,763.7,-0.46,51.8,-3.04,13,14,0,0,32,11,20,197.23,1.22,0.8,0.93,0
VNINDEX,4/29/2020 0:00,769.1,772.6,768.2,0.25,52.9,-1.79,21,9,0,0,32,11,18,210.87,1.19,0.86,2.33,0
VNINDEX,5/4/2020 0:00,762.5,769.7,761.6,-0.86,48.5,-3.57,7,23,0,1,32,9,17,253.97,1.18,1.03,0.3,3.13
VNINDEX,5/5/2020 0:00,764.2,767,760,0.22,49.7,-2.21,15,12,0,0,32,10,18,169,1.18,0.69,1.25,0
VNINDEX,5/6/2020 0:00,782.6,782.6,765.4,2.41,60.8,-1.09,30,1,1,0,32,18,22,209.91,1.23,0.87,30,3.13
VNINDEX,5/7/2020 0:00,796.5,796.5,785.1,1.78,66.9,0.27,28,3,1,0,32,20,24,214.43,1.07,0.9,9.33,3.13
VNINDEX,5/8/2020 0:00,813.7,825.7,800.2,2.16,72.7,-2.12,26,4,2,0,32,26,29,340.16,1.05,1.39,6.5,6.25
VNINDEX,5/11/2020 0:00,828.3,828.3,812.5,1.79,76.6,-1.92,29,1,1,0,32,29,30,268.93,1.06,1.1,29,3.13
VNINDEX,5/12/2020 0:00,835.3,836,819.7,0.84,78.3,-2.98,21,9,0,0,32,31,31,290.07,1.09,1.19,2.33,0
VNINDEX,5/13/2020 0:00,834.2,839.6,815.1,-0.13,77.3,-1.71,13,14,2,0,32,31,31,338.67,1.17,1.35,0.93,6.25
VNINDEX,5/14/2020 0:00,832.4,836.2,826.2,-0.22,75.6,-1.63,9,22,0,0,32,31,31,273.95,1.16,1.08,0.41,0
VNINDEX,5/15/2020 0:00,827,838.5,824.6,-0.65,70.6,-0.94,5,22,0,1,32,31,31,258.29,1.19,1.02,0.23,3.13
VNINDEX,5/18/2020 0:00,837,837.6,823.1,1.21,74.1,0.09,26,4,1,0,32,31,31,224.26,1.22,0.88,6.5,3.13
VNINDEX,5/19/2020 0:00,845.9,854.3,844.2,1.06,76.9,0.02,25,4,0,0,32,30,30,293.8,1.23,1.15,6.25,0
